lsoa_id,lsoa_name,lad_name,population,income_avg,poverty_index,base_demand_kw,ec_count_SA,asset_total_mw_SA,active_SA,ec_count_SB,asset_total_mw_SB,active_SB,ec_count_SC,asset_total_mw_SC,active_SC,ec_count_SD,asset_total_mw_SD,active_SD
E01034450,E01034450,Milton Keynes,1710,59138,0.0438,223275.0095285324,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034451,E01034451,Milton Keynes,6816,69575,0.048,1059228.9961280786,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034452,E01034452,Milton Keynes,2389,69575,0.0552,356274.2767884323,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034453,E01034453,Milton Keynes,2549,55692,0.0285,327450.0997080617,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034454,E01034454,Milton Keynes,1897,55692,0.1447,232482.9464561967,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034455,E01034455,Milton Keynes,2239,55692,0.0286,238799.08713289417,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034456,E01034456,Milton Keynes,1923,82648,0.0385,288310.5852153356,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034457,E01034457,Milton Keynes,2334,82648,0.0424,428994.4091118343,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034458,E01034458,Milton Keynes,2683,83825,0.0264,288529.62592072744,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034459,E01034459,Milton Keynes,2045,83825,0.0313,258585.95050278216,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034460,E01034460,Milton Keynes,2301,83825,0.0285,279149.22480225575,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034461,E01034461,Milton Keynes,1855,83825,0.0415,184152.52804913023,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034462,E01034462,Milton Keynes,1354,74657,0.0798,257402.2169442572,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034463,E01034463,Milton Keynes,2422,74657,0.0334,317406.2847662002,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034464,E01034464,Milton Keynes,2108,74657,0.0443,450910.811717845,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034465,E01034465,Milton Keynes,1963,74657,0.0356999999999999,214876.66348903344,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034466,E01034466,Milton Keynes,3684,77951,0.0308,435664.0144047708,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034467,E01034467,Milton Keynes,2168,77951,0.0479,304563.5973981338,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034468,E01034468,Milton Keynes,1114,77951,0.0361,66482.13752713524,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
